Beer,Brewery,Location,% Alc (ABV)
Grassroots Ale,Great Lakes Brewing Co.,Cleveland OH,6.2
Woodtooth Porter,Great Lakes Brewing Co.,Cleveland OH,6.2
Lagunitas India Pale Ale,Lagunitas Brewing Company,,6.2
Lagunitas IPA,Lagunitas Brewing Company,,6.2
Clear Creek Ice,Minhas Craft Brewery,Wisconsin,6.2
Snowday Winter Ale,New Belgium Brewing Co.,Fort Collins CO,6.2
Schlitz Malt Liquor,Pabst Brewing Co.,Los Angeles CA,6.2
Shiner 102,Shiner,,6.2
Bludgeon Yer Eye,Short's Brewing Company,Elk Rapids MI,6.2
Surly Furious,Surly Brewing Company,Brooklyn Center MN,6.2
Schneider George Schneider's Wiesen Edel-Weisse,Weisses Bräuhaus G. Schneider & Sohn GmbH,Germany,6.2
Cutt's Nw Amber Ale,7 Seas Brewing,Gig Harbor WA,6.2
Alaskan Smoked Porter,Alaskan Brewing,Juneau AK,6.1
ESB,BridgePort Brewing Co.,Portland OR,6.1
Labatt Blue Royale Light,Labatt Brewing Company Ltd. ,Ontario Canada,6.1
Chocolate Wheat,Short's Brewing Company,Elk Rapids MI,6.1
Summit Winter Ale,Summit Brewing Co,,6.1
Molson Golden Beer,Molson Coors,Ontario Canada,6
Saison Du Sept Mers,7 Seas Brewing,Gig Harbor WA,6
Kiltlifter,Alcatraz Brewing Co.,Indianapolis IN,6
Liberty Ale,Anchor Brewing,San Francisco CA,6
Bud Light Platinum,Anheuser Busch,St Louis MO,6
Budweiser Black Crown,Anheuser Busch,St Louis MO,6
Anhauser Busch King Cobra,Anheuser-Busch,St Louis MO,6
Budweiser Black Crown,Anheuser-Busch,St Louis MO,6
Truck Stop Honey Brown Ale,Back Forty Beer Co. ,Alabama,6
Barrel 32,Bear Republic Brewing Company,Healdsburg CA,6
Cuvee de Bubba,Bear Republic Brewing Company,Healdsburg CA,6
Rebellion,Bear Republic Brewing Company,Healdsburg CA,6
Oberon,Bell's Brewery,Kalamazoo MI,6
Henry Weinhard's Woodland Pass IPA,Blitz-Weinhard Brewing Co. ,Oregon,6
Beck’s Sapphire,BRAUEREI BECK & CO,St Louis MO,6
Black Strap Stout,BridgePort Brewing Co.,Portland OR,6
Christian Moerlein Over-The-Rhine Ale,Christian Moerlein Brewing Company,Cincinnati OH,6
Matt Brewing Co. Saranac White IPA,F X Matt Brewing Co.,Utica NY,6
Kilt Lifter Scottish Style Ale,Four Peaks,,6
Full Sail IPA,Full Sail Brewing,Hood River OR,6
Aloha Ale,Great Lakes Brewing Co.,Cleveland OH,6
Burning River Pale Ale,Great Lakes Brewing Co.,Cleveland OH,6
Cleveland Brown Ale,Great Lakes Brewing Co.,Cleveland OH,6
Engine 20,Great Lakes Brewing Co.,Cleveland OH,6
